City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Grand-Lahou,CI,5.1367,-5.0242,80.73,82,44,7.76,scattered clouds
80,Palu,ID,-0.8917,119.8707,74.62,90,100,1.23,overcast clouds
81,Hilo,US,19.7297,-155.09,68.79,49,90,5.75,very heavy rain
82,Dalbandin,PK,28.8947,64.4101,62.29,24,22,2.62,few clouds
83,Hambantota,LK,6.1241,81.1185,75.24,87,55,10.58,broken clouds
84,Bethel,US,41.3712,-73.414,39.99,63,100,2.55,overcast clouds
85,Tuatapere,NZ,-46.1333,167.6833,63.82,51,48,10.31,scattered clouds
86,Pevek,RU,69.7008,170.3133,-11.81,83,100,6.8,overcast clouds
87,Filingue,NE,14.3521,3.3168,72.05,18,17,10.27,few clouds
88,Esperance,AU,-33.8667,121.9,61.84,86,81,8.41,broken clouds
89,Castro,BR,-24.7911,-50.0119,78.12,45,35,3.36,scattered clouds
90,Avera,US,33.194,-82.5271,43.3,92,100,10.54,overcast clouds
91,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.41,70,100,1.97,overcast clouds
92,Messina,IT,38.1933,15.5497,57.18,70,40,4.0,scattered clouds
93,Isangel,VU,-19.55,169.2667,84.31,84,40,0.0,scattered clouds
94,Namatanai,PG,-3.6667,152.4333,80.53,81,99,2.75,overcast clouds
95,Dandong,CN,40.1292,124.3947,23.13,35,88,7.67,overcast clouds
96,Leningradskiy,RU,69.3833,178.4167,-3.26,71,14,20.74,few clouds
97,Bougouni,ML,11.417,-7.479,75.7,17,30,6.06,scattered clouds
98,Fairbanks,US,64.8378,-147.7164,16.3,81,90,4.61,overcast clouds
99,Qandala,SO,11.472,49.8728,76.33,74,91,5.88,overcast clouds
100,Vardo,NO,70.3705,31.1107,26.58,80,100,25.32,overcast clouds
101,Husavik,IS,66.0449,-17.3389,17.51,84,55,7.85,broken clouds
102,Tasiilaq,GL,65.6145,-37.6368,30.36,59,92,5.99,overcast clouds
103,Aklavik,CA,68.2191,-135.0107,8.6,85,90,14.97,light snow
104,Morondava,MG,-20.2833,44.2833,79.47,72,55,5.99,broken clouds
105,Butaritari,KI,3.0707,172.7902,81.21,71,92,6.22,overcast clouds
106,Manokwari,ID,-0.8667,134.0833,78.15,85,100,4.32,moderate rain
107,Mahebourg,MU,-20.4081,57.7,79.09,78,75,12.66,broken clouds
108,Srandakan,ID,-7.9386,110.2506,76.21,87,100,3.76,overcast clouds
109,Ostrovnoy,RU,68.0531,39.5131,24.17,68,100,11.48,overcast clouds
110,Sechura,PE,-5.5569,-80.8222,74.59,66,51,15.52,broken clouds
111,Paamiut,GL,61.994,-49.6678,34.84,92,100,24.94,moderate rain
112,Gazojak,TM,41.1875,61.4036,48.47,75,3,22.66,clear sky
113,Odate,JP,40.2686,140.5683,31.24,75,98,11.45,overcast clouds
114,Victor Harbor,AU,-35.5667,138.6167,63.72,79,94,9.48,overcast clouds
115,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,75,5.75,fog
116,Port Alfred,ZA,-33.5906,26.891,69.64,93,40,14.9,scattered clouds
117,Kaeo,NZ,-35.1,173.7833,72.32,80,100,5.35,overcast clouds
118,Vanimo,PG,-2.6741,141.3028,78.24,88,100,7.49,overcast clouds
119,Bolivar,US,37.6145,-93.4105,56.07,52,52,3.0,broken clouds
120,Alyangula,AU,-13.8483,136.4192,83.48,73,96,8.7,overcast clouds
121,Ancud,CL,-41.8697,-73.8203,73.22,65,2,5.73,clear sky
122,Pisco,PE,-13.7,-76.2167,71.65,78,0,20.71,clear sky
123,Touros,BR,-5.1989,-35.4608,83.3,75,31,10.51,scattered clouds
124,Ilulissat,GL,69.2167,-51.1,41.02,36,95,40.29,overcast clouds
125,Gizo,SB,-8.103,156.8419,83.5,75,87,1.14,overcast clouds
126,Faanui,PF,-16.4833,-151.75,80.2,71,100,10.76,light rain
127,Urzhum,RU,57.1141,49.9996,-7.74,98,32,6.06,scattered clouds
128,Finschhafen,PG,-6.6024,147.8681,80.6,80,42,4.38,scattered clouds
129,Saint-Joseph,RE,-21.3667,55.6167,75.58,87,92,11.83,light rain
130,Torbay,CA,47.6666,-52.7314,31.28,89,100,1.99,overcast clouds
131,Georgetown,MY,5.4112,100.3354,77.9,94,40,2.3,scattered clouds
132,Benguela,AO,-12.5763,13.4055,75.65,77,46,4.03,scattered clouds
133,Fortuna,US,40.5982,-124.1573,52.14,93,20,1.99,moderate rain
134,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,91,100,22.1,overcast clouds
135,Cape Town,ZA,-33.9258,18.4232,72.88,74,0,3.0,clear sky
136,Poum,NC,-20.2333,164.0167,79.88,77,8,6.04,clear sky
137,Aksha,RU,50.2814,113.2867,-12.69,96,5,1.28,clear sky
138,Yulara,AU,-25.2406,130.9889,80.44,21,2,5.75,clear sky
139,Shahrud,IR,36.4182,54.9763,39.11,53,0,6.06,clear sky
140,Tevaitoa,PF,-16.7833,-151.5,78.64,77,98,10.8,moderate rain
141,Mineiros,BR,-17.5694,-52.5511,76.5,84,75,2.21,light rain
142,Tiksi,RU,71.6872,128.8694,-18.13,97,99,8.61,overcast clouds
