City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Emerald,AU,76.33,clear sky,-23.5333,148.1667,The Irish Village
13,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
17,Samarai,PG,81.66,few clouds,-10.6167,150.6667,Nuli Sapi
19,Semporna,MY,77.2,overcast clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
27,Muisne,EC,77.11,overcast clouds,0.6,-80.0333,Quinta Samay
29,Atuona,PF,78.37,overcast clouds,-9.8,-139.0333,Villa Enata
31,Bengkulu,ID,76.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
35,Vaini,TO,84.36,light rain,-21.2,-175.2,Keleti Beach Resort
44,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
46,Kapaa,US,75.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
47,Port-Gentil,GA,81.64,scattered clouds,-0.7193,8.7815,Fengshui Residence
48,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Ixtapa,MX,79.83,clear sky,20.7,-105.2,Hotel Plaza Providencia
66,Hithadhoo,MV,80.13,overcast clouds,-0.6,73.0833,Scoop Guest House
69,Ambilobe,MG,78.64,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
72,Berberati,CF,75.34,overcast clouds,4.2612,15.7922,Prince Virgile ASSOMO-MOMORI
79,Grand-Lahou,CI,80.73,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
83,Hambantota,LK,75.24,broken clouds,6.1241,81.1185,Bungalow 63
89,Castro,BR,78.12,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
91,Santa Isabel Do Rio Negro,BR,86.41,overcast clouds,-0.4139,-65.0192,Hotel GSA
93,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
94,Namatanai,PG,80.53,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
97,Bougouni,ML,75.7,scattered clouds,11.417,-7.479,Non Stop
104,Morondava,MG,79.47,broken clouds,-20.2833,44.2833,La Case Bambou
105,Butaritari,KI,81.21,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
106,Manokwari,ID,78.15,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
107,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Srandakan,ID,76.21,overcast clouds,-7.9386,110.2506,Puri Brata
118,Vanimo,PG,78.24,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
120,Alyangula,AU,83.48,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
123,Touros,BR,83.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
